"stable_database_id","current_slug","current_breed_name","bird_type","current_breed_category","current_description","egg_color","annual_egg_production","temperament","production_traits","default_photo_url","image_prompt","image_url","is_active","is_custom","sort_order","created_at","updated_at","species_id","proposed_base_breed","proposed_variety","proposed_breed_category","proposed_status","review_notes"
"ea5f3019-178f-4941-b613-243bbafdce11","barred-rock","Barred Rock",,,,,,,,,,"catalog-images/catalog/breeds/chicken/barred-rock/20260720T165113Z-9bf59769e183.png","True","False","0","2026-05-18T19:24:30.215217+00:00","2026-07-20T16:51:14.282526+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"d2a2f408-ab0f-414f-b076-b30d6d8ec50e","black-australorp","Black Australorp",,,,,,,,,,,"True","False","0","2026-05-18T19:24:30.215217+00:00","2026-05-18T19:24:30.215217+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"273c8ef6-bce3-4d62-9c19-1a207bf9f7ad","buff-orpington","Buff Orpington",,,,,,,,,,,"True","False","0","2026-05-18T19:24:30.215217+00:00","2026-05-18T19:24:30.215217+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"92b762ba-73a2-4183-8ed8-f253fd532838","leghorn","Leghorn",,,,,,,,,,,"True","False","0","2026-05-18T19:24:30.215217+00:00","2026-05-18T19:24:30.215217+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"3bc0b5d1-42ca-4ba4-b080-5bf824393fe6","marans","Marans",,,,,,,,,,,"True","False","0","2026-05-18T19:24:30.215217+00:00","2026-05-18T19:24:30.215217+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"d74a416a-9e02-45c6-aa86-c00c0a09f3b9","wyandotte","Wyandotte",,,,,,,,,,,"True","False","0","2026-05-18T19:24:30.215217+00:00","2026-05-18T19:24:30.215217+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"17e9adec-2604-45f0-b78a-1178a3900c67","ameraucana","Ameraucana","layer","Layers","Ameraucana are hardy blue-egg layers with pea combs and an active, alert nature. They are a good choice for colorful egg baskets and small flocks.","blue","150_200",,,,,,"True","False","10","2026-05-24T16:48:38.61579+00:00","2026-06-10T19:33:45.616962+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"052175a6-f412-4f83-9b77-dc003e0c06a6","ameraucana-black","Ameraucana - Black",,"Layers",,,,,,,,"catalog-images/catalog/breeds/chicken/ameraucana-black/20260611T234611Z-a539d3377f31.png","True","False","20","2026-05-24T16:48:38.61579+00:00","2026-06-11T23:46:11.724764+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"44595cae-14ec-4507-9391-d3c6830c319a","ameraucana-blue","Ameraucana - Blue",,"Layers",,,,,,,,"catalog-images/catalog/breeds/chicken/ameraucana-blue/20260611T234105Z-82d319684e24.png","True","False","30","2026-05-24T16:48:38.61579+00:00","2026-06-11T23:41:05.853293+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"70b15912-888c-4531-b057-6da470912c7c","ameraucana-blue-wheaten","Ameraucana - Blue Wheaten",,"Layers",,,,,,,,,"True","False","40","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"56956481-6042-4320-9f91-5d3530680d05","ameraucana-buff","Ameraucana - Buff",,"Layers",,,,,,,,,"True","False","50","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"dcc5094a-090f-4a2d-b460-de790642ce02","ameraucana-lavender","Ameraucana - Lavender",,"Layers",,,,,,,,,"True","False","60","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"45d16f20-39f2-46d3-aa3c-04cde4e9fc11","ameraucana-splash","Ameraucana - Splash",,"Layers",,,,,,,,,"True","False","70","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"6cc8f1fe-ed6a-4cfa-9ba0-450c8e276f57","ameraucana-wheaten","Ameraucana - Wheaten",,"Layers",,,,,,,,,"True","False","80","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"d9ca3499-d6a0-4cc2-97df-2cfa4cdcd291","ameraucana-white","Ameraucana - White",,"Layers",,,,,,,,,"True","False","90","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"534be542-de80-4381-ac6a-70518e1768fa","ancona","Ancona",,"Layers",,,,,,,,,"True","False","100","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"f19d41bd-0bd2-4fe3-a442-04b381ffc4fc","andalusian-blue","Andalusian - Blue",,"Layers",,,,,,,,,"True","False","110","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"b8eb874b-6cf0-422b-aa69-59cc2753dd30","appenzeller-spitzhauben","Appenzeller Spitzhauben",,"Layers",,,,,,,,,"True","False","120","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
"9c6e24ba-217d-4a6a-b024-85d807c709f4","araucana","Araucana",,"Layers",,,,,,,,,"True","False","130","2026-05-24T16:48:38.61579+00:00","2026-05-24T16:48:38.61579+00:00","0c1c7eda-e2a8-425e-a3e9-c659d9751eaa","","","","",""
